URL,Тип страницы,Title,H1,Description,Ключевые формулировки,Частотность
https://odintsovclinic.ru/,Услуга / навигационная,"Клиника Одинцова в Санкт-Петербурге — врачи, услуги и цены",Медицинский маршрут без лишней тревоги,"Маммология, гинекология, эндокринология и нутрициология в клинике Одинцова. Санкт-Петербург, Богатырский проспект, 22 к. 1. Врачи, цены и запись на приём.","клиника Одинцова, экспертная медицина СПб, маммология Санкт-Петербург, гинекология СПб, эндокринология СПб, нутрициология СПб, ВАБ СПб, Богатырский проспект",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/about,Услуга / навигационная,О клинике Одинцова в Санкт-Петербурге,О клинике Одинцова,"Клиника Одинцова работает в Санкт-Петербурге, в Приморском районе, на Богатырском проспекте. Приём по маммологии, гинекологии, эндокринологии и нутрициологии.","о клинике Одинцова, медицинский центр СПб, маммолог Санкт-Петербург, ВАБ биопсия, гинеколог СПб, эндокринолог СПб, нутрициолог СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/adenomioz,Услуга / навигационная,Аденомиоз — консультация гинеколога в СПб,Аденомиоз: диагностика и лечение в СПб,"Гинеколог при аденомиозе в Санкт-Петербурге: обсуждение жалоб, разбор результатов УЗИ и индивидуальный план лечения или наблюдения. Клиника Одинцова.","аденомиоз лечение СПб, гинеколог Санкт-Петербург, аденомиоз симптомы, обильные менструации, болезненные месячные лечение, Приморский район СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog,Услуга / навигационная,Блог и клинические разборы | Клиника Одинцова,Блог и клинические разборы,"Статьи, клинические разборы и ответы врачей Клиники Одинцова. Полезные материалы по маммологии, гинекологии и эндокринологии.","блог клиники, клинические разборы, статьи о маммологии, статьи о гинекологии, статьи об эндокринологии, диагностика",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/15-pravil-grudnogo-vskarmlivaniya,Информационная,Грудное вскармливание: 15 практических рекомендаций | Клиника Одинцова,Грудное вскармливание: 15 практических рекомендаций,"Спокойный разбор базовых рекомендаций по грудному вскармливанию: как наладить кормление, когда нужна поддержка и в каких ситуациях стоит обсудить симптомы с врачом.","грудное вскармливание, лактация, рекомендации ВОЗ, консультация маммолога, лактационная поддержка, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/abnormalnyy-mazok-chto-delat,Информационная,Аномальный результат мазка: что делать дальше | Клиника Одинцова,Аномальный результат мазка: что делать дальше,"Получили плохой результат цитологии или ПАП-теста? Разбираем, что означают классы ASCUS, LSIL, HSIL, какие шаги следуют за аномальным мазком и когда нужна кольпоскопия.","аномальный мазок, ПАП-тест, ASCUS, кольпоскопия, ВПЧ 16 18, дисплазия шейки матки, LEEP, гинекология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/adenomioz-prichiny-simptomy-lechenie,Информационная,Аденомиоз: когда матка «болит изнутри» | Клиника Одинцова,Аденомиоз: когда матка «болит изнутри»,"Аденомиоз — одна из самых недодиагностированных причин болезненных и обильных менструаций. Объясняем, что происходит в матке, как это диагностируется и какие варианты лечения существуют.","аденомиоз, болезненные менструации, обильные менструации, гинекология, лечение аденомиоза, МРТ матки, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/autoimmunyye-zabolevaniya-u-zhenshchin,Информационная,Аутоиммунные заболевания у женщин: симптомы | Клиника Одинцова,Аутоиммунные заболевания у женщин: почему так часто и как не пропустить,"80% всех аутоиммунных заболеваний диагностируются у женщин. Разбираем причины, ранние симптомы — усталость, туман в голове, боли в суставах — и почему так важна ранняя диагностика.","аутоиммунные заболевания, тиреоидит Хашимото, щитовидная железа, волчанка, ревматоидный артрит, женское здоровье, диагностика, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/bol-v-grudi-i-risk-raka,Информационная,Боль в груди и риск онкологии: что важно знать | Клиника Одинцова,Боль в груди и риск онкологии: что важно знать,"Масталгия — боль в молочной железе — беспокоит большинство женщин хотя бы раз в жизни. Разбираемся, когда боль является нормой, а когда стоит обратиться к маммологу.","боль в груди, масталгия, рак молочной железы, BRCA, диагностика, маммология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/chto-takoe-fibroadenoma,Информационная,Фиброаденома молочной железы: что важно знать | Клиника Одинцова,Фиброаденома молочной железы: что важно знать,"Что такое фиброаденома, как её подтверждают, когда наблюдают, а когда рассматривают удаление. Спокойный разбор без лишней тревоги.","фиброаденома молочной железы, маммолог, ВАБ, удаление фиброаденомы, наблюдение, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
