record_type,page_or_cluster,query,operator_scope,region,period,devices,count,count_status,api_method
broad_seed,mammology,маммолог,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,13895,reported,Wordstat GetTop
broad_seed,mammology,онколог маммолог,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,3743,reported,Wordstat GetTop
broad_seed,mammology,маммология,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,512,reported,Wordstat GetTop
broad_seed,vab,ВАБ,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,1196,reported,Wordstat GetTop
broad_seed,vab,вакуумная аспирационная биопсия,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,49,reported,Wordstat GetTop
broad_seed,vab,удаление фиброаденомы,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,272,reported,Wordstat GetTop
broad_seed,gynecology,гинеколог,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,142576,reported,Wordstat GetTop
broad_seed,gynecology,гинекология,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,33497,reported,Wordstat GetTop
broad_seed,endocrinology,эндокринолог,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,59067,reported,Wordstat GetTop
broad_seed,endocrinology,эндокринология,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,4878,reported,Wordstat GetTop
broad_seed,nutrition,нутрициолог,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,5744,reported,Wordstat GetTop
broad_seed,nutrition,нутрициология,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,2151,reported,Wordstat GetTop
broad_seed,adenomioz,аденомиоз,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,5219,reported,Wordstat GetTop
